,angularity,filename,empresa,gravel_size,image
55,2426.28,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_005.tif,britacet 3,4.75 (#4),Image_005.tif
56,2641.14,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_006.tif,britacet 3,4.75 (#4),Image_006.tif
57,2551.96,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_007.tif,britacet 3,4.75 (#4),Image_007.tif
58,4820.65,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_008.tif,britacet 3,4.75 (#4),Image_008.tif
59,4184.93,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_009.tif,britacet 3,4.75 (#4),Image_009.tif
60,2739.64,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_010.tif,britacet 3,4.75 (#4),Image_010.tif
61,3634.01,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_011.tif,britacet 3,4.75 (#4),Image_011.tif
62,2640.37,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_012.tif,britacet 3,4.75 (#4),Image_012.tif
63,2508.43,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_013.tif,britacet 3,4.75 (#4),Image_013.tif
64,3114.98,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_014.tif,britacet 3,4.75 (#4),Image_014.tif
65,1643.71,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_015.tif,britacet 3,4.75 (#4),Image_015.tif
66,2857.1,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_016.tif,britacet 3,4.75 (#4),Image_016.tif
67,4292.62,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_017.tif,britacet 3,4.75 (#4),Image_017.tif
68,4434.68,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_018.tif,britacet 3,4.75 (#4),Image_018.tif
69,2817.17,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_019.tif,britacet 3,4.75 (#4),Image_019.tif
70,4537.18,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_020.tif,britacet 3,4.75 (#4),Image_020.tif
71,3812.17,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_021.tif,britacet 3,4.75 (#4),Image_021.tif
72,2282.01,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_022.tif,britacet 3,4.75 (#4),Image_022.tif
73,3014.86,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_023.tif,britacet 3,4.75 (#4),Image_023.tif
74,2959.13,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_024.tif,britacet 3,4.75 (#4),Image_024.tif
75,3196.51,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_025.tif,britacet 3,4.75 (#4),Image_025.tif
76,2457.25,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_026.tif,britacet 3,4.75 (#4),Image_026.tif
77,1790.27,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_027.tif,britacet 3,4.75 (#4),Image_027.tif
78,2096.76,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_028.tif,britacet 3,4.75 (#4),Image_028.tif
79,2229.14,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_029.tif,britacet 3,4.75 (#4),Image_029.tif
80,3534.43,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_030.tif,britacet 3,4.75 (#4),Image_030.tif
81,3256.44,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_031.tif,britacet 3,4.75 (#4),Image_031.tif
82,3388.15,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_032.tif,britacet 3,4.75 (#4),Image_032.tif
83,3095.42,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_033.tif,britacet 3,4.75 (#4),Image_033.tif
84,3281.7,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_034.tif,britacet 3,4.75 (#4),Image_034.tif
85,2999.88,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_035.tif,britacet 3,4.75 (#4),Image_035.tif
86,1959.0,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_036.tif,britacet 3,4.75 (#4),Image_036.tif
87,2661.55,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_037.tif,britacet 3,4.75 (#4),Image_037.tif
88,2552.74,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_038.tif,britacet 3,4.75 (#4),Image_038.tif
89,3788.37,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_039.tif,britacet 3,4.75 (#4),Image_039.tif
90,2647.78,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_040.tif,britacet 3,4.75 (#4),Image_040.tif
91,2401.54,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_041.tif,britacet 3,4.75 (#4),Image_041.tif
92,3653.71,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_042.tif,britacet 3,4.75 (#4),Image_042.tif
93,2909.86,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_043.tif,britacet 3,4.75 (#4),Image_043.tif
94,3464.67,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_044.tif,britacet 3,4.75 (#4),Image_044.tif
95,2976.09,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_045.tif,britacet 3,4.75 (#4),Image_045.tif
96,5184.59,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_046.tif,britacet 3,4.75 (#4),Image_046.tif
97,3709.18,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_047.tif,britacet 3,4.75 (#4),Image_047.tif
98,3183.91,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_048.tif,britacet 3,4.75 (#4),Image_048.tif
99,2685.88,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\4.75 (#4)\Angularity\Image_049.tif,britacet 3,4.75 (#4),Image_049.tif
100,3544.01,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_000.tif,britacet 3,9.5 (0.375),Image_000.tif
101,4159.53,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_001.tif,britacet 3,9.5 (0.375),Image_001.tif
102,1922.22,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_002.tif,britacet 3,9.5 (0.375),Image_002.tif
103,2941.96,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_003.tif,britacet 3,9.5 (0.375),Image_003.tif
104,2811.17,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_004.tif,britacet 3,9.5 (0.375),Image_004.tif
105,3959.15,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_005.tif,britacet 3,9.5 (0.375),Image_005.tif
106,3488.93,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_006.tif,britacet 3,9.5 (0.375),Image_006.tif
107,3578.55,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_007.tif,britacet 3,9.5 (0.375),Image_007.tif
108,3079.23,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_008.tif,britacet 3,9.5 (0.375),Image_008.tif
109,2049.25,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_009.tif,britacet 3,9.5 (0.375),Image_009.tif
110,2836.54,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_010.tif,britacet 3,9.5 (0.375),Image_010.tif
111,3960.74,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_011.tif,britacet 3,9.5 (0.375),Image_011.tif
112,2545.9,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_012.tif,britacet 3,9.5 (0.375),Image_012.tif
113,3021.82,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_013.tif,britacet 3,9.5 (0.375),Image_013.tif
114,2761.29,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_014.tif,britacet 3,9.5 (0.375),Image_014.tif
115,2439.91,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_015.tif,britacet 3,9.5 (0.375),Image_015.tif
116,3666.86,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_016.tif,britacet 3,9.5 (0.375),Image_016.tif
117,2245.34,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_017.tif,britacet 3,9.5 (0.375),Image_017.tif
118,2678.38,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_018.tif,britacet 3,9.5 (0.375),Image_018.tif
119,3459.02,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_019.tif,britacet 3,9.5 (0.375),Image_019.tif
120,2287.28,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_020.tif,britacet 3,9.5 (0.375),Image_020.tif
121,2779.41,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_021.tif,britacet 3,9.5 (0.375),Image_021.tif
122,4403.02,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_022.tif,britacet 3,9.5 (0.375),Image_022.tif
123,2678.61,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_023.tif,britacet 3,9.5 (0.375),Image_023.tif
124,2832.96,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_024.tif,britacet 3,9.5 (0.375),Image_024.tif
125,3272.58,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_025.tif,britacet 3,9.5 (0.375),Image_025.tif
126,3960.47,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_026.tif,britacet 3,9.5 (0.375),Image_026.tif
127,4054.59,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_027.tif,britacet 3,9.5 (0.375),Image_027.tif
128,2937.46,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_028.tif,britacet 3,9.5 (0.375),Image_028.tif
129,3282.75,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_029.tif,britacet 3,9.5 (0.375),Image_029.tif
130,1914.06,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_030.tif,britacet 3,9.5 (0.375),Image_030.tif
131,2071.95,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_031.tif,britacet 3,9.5 (0.375),Image_031.tif
132,3905.22,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_032.tif,britacet 3,9.5 (0.375),Image_032.tif
133,3498.7,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_033.tif,britacet 3,9.5 (0.375),Image_033.tif
134,3016.91,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_034.tif,britacet 3,9.5 (0.375),Image_034.tif
135,3404.07,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_035.tif,britacet 3,9.5 (0.375),Image_035.tif
136,2596.72,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_036.tif,britacet 3,9.5 (0.375),Image_036.tif
137,2175.12,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_037.tif,britacet 3,9.5 (0.375),Image_037.tif
138,2286.53,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_038.tif,britacet 3,9.5 (0.375),Image_038.tif
139,3517.59,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_039.tif,britacet 3,9.5 (0.375),Image_039.tif
140,3886.32,C:\Documents and Settings\Pine\Desktop\Lara\graudos\Britacet BGS\Britacet\9.5 (0.375)\Angularity\Image_040.tif,britacet 3,9.5 (0.375),Image_040.tif
