,texture,filename,empresa,gravel_size,image
1289,124.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_014.tif,tecbrita,4.75 (#4),Image_014.tif
1290,370.9,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_015.tif,tecbrita,4.75 (#4),Image_015.tif
1291,522.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_016.tif,tecbrita,4.75 (#4),Image_016.tif
1292,409.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_017.tif,tecbrita,4.75 (#4),Image_017.tif
1293,243.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_018.tif,tecbrita,4.75 (#4),Image_018.tif
1294,210.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_019.tif,tecbrita,4.75 (#4),Image_019.tif
1295,72.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_020.tif,tecbrita,4.75 (#4),Image_020.tif
1296,393.0,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_021.tif,tecbrita,4.75 (#4),Image_021.tif
1297,165.8,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_022.tif,tecbrita,4.75 (#4),Image_022.tif
1298,114.2,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_023.tif,tecbrita,4.75 (#4),Image_023.tif
1299,372.1,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_024.tif,tecbrita,4.75 (#4),Image_024.tif
1300,72.5,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_025.tif,tecbrita,4.75 (#4),Image_025.tif
1301,358.6,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_026.tif,tecbrita,4.75 (#4),Image_026.tif
1302,351.3,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_027.tif,tecbrita,4.75 (#4),Image_027.tif
1303,563.7,C:\Documents and Settings\Pine\Desktop\Lara\Tecbrita\Tecbrita\4.75 (#4)\Texture\Image_028.tif,tecbrita,4.75 (#4),Image_028.tif
